期号,开奖日期,红球,蓝球
2024035,2024-03-31(日),05 07 14 17 22 32,06
2024034,2024-03-28(四),02 09 12 19 21 31,04
2024033,2024-03-26(二),06 10 11 18 20 32,05
2024032,2024-03-24(日),01 03 04 11 12 21,16
2024031,2024-03-21(四),09 10 13 25 30 32,02
2024030,2024-03-19(二),01 08 22 25 29 33,10
2024029,2024-03-17(日),12 18 23 25 28 33,04
2024028,2024-03-14(四),03 07 08 11 18 19,05
2024027,2024-03-12(二),02 06 13 27 28 32,13
2024026,2024-03-10(日),04 07 18 19 20 25,06
2024025,2024-03-07(四),08 15 21 22 25 33,13
2024024,2024-03-05(二),03 07 21 24 26 30,10
2024023,2024-03-03(日),01 10 22 25 28 32,10
2024022,2024-02-29(四),02 09 11 14 18 26,06
2024021,2024-02-27(二),04 06 16 17 23 24,11
2024020,2024-02-25(日),03 08 12 14 17 33,08
2024019,2024-02-22(四),05 11 12 16 17 20,08
2024018,2024-02-20(二),06 15 17 24 28 29,16
2024017,2024-02-18(日),04 17 19 20 25 32,04
2024016,2024-02-06(二),07 12 20 24 32 33,04
2024015,2024-02-04(日),03 08 17 18 20 30,15
2024014,2024-02-01(四),01 02 10 22 24 25,13
2024013,2024-01-30(二),01 07 10 14 21 25,07
2024012,2024-01-28(日),01 03 07 18 22 28,15
2024011,2024-01-25(四),08 12 16 20 27 31,06
2024010,2024-01-23(二),11 16 20 21 23 24,04
2024009,2024-01-21(日),01 04 07 10 17 23,14
2024008,2024-01-18(四),08 20 21 23 27 30,13
2024007,2024-01-16(二),04 05 06 07 20 22,15
2024006,2024-01-14(日),07 18 20 21 26 32,05
2024005,2024-01-11(四),05 06 20 23 25 32,03
2024004,2024-01-09(二),09 13 17 18 21 27,04
2024003,2024-01-07(日),01 05 08 13 32 33,03
2024002,2024-01-04(四),04 09 10 17 19 20,09
2024001,2024-01-02(二),03 07 16 26 27 32,16
2023151,2023-12-31(日),01 15 16 20 25 27,05
2023150,2023-12-28(四),10 17 25 26 30 33,05
2023149,2023-12-26(二),02 10 19 24 26 33,15
2023148,2023-12-24(日),03 05 07 09 19 20,08
2023147,2023-12-21(四),05 06 14 16 19 32,12
2023146,2023-12-19(二),02 03 06 11 20 32,09
2023145,2023-12-17(日),07 10 21 22 23 24,11
2023144,2023-12-14(四),12 16 17 22 25 27,08
2023143,2023-12-12(二),05 07 09 16 23 30,15
2023142,2023-12-10(日),02 08 20 21 27 33,14
2023141,2023-12-07(四),01 08 11 12 21 23,03
2023140,2023-12-05(二),03 04 11 14 30 31,05
2023139,2023-12-03(日),12 14 19 21 27 31,11
2023138,2023-11-30(四),03 22 28 30 31 33,04
2023137,2023-11-28(二),03 12 17 19 23 27,11
2023136,2023-11-26(日),03 05 10 21 22 26,10
2023135,2023-11-23(四),05 06 11 13 28 30,07
2023134,2023-11-21(二),05 08 09 17 22 33,04
2023133,2023-11-19(日),04 05 10 14 22 25,03
2023132,2023-11-16(四),03 09 11 15 25 27,01
2023131,2023-11-14(二),06 07 14 20 26 32,01
2023130,2023-11-12(日),04 10 17 22 23 32,16
2023129,2023-11-09(四),08 09 12 17 32 33,04
2023128,2023-11-07(二),07 16 20 21 27 33,01
2023127,2023-11-05(日),03 08 19 22 26 32,14
2023126,2023-11-02(四),10 24 26 28 29 31,16
2023125,2023-10-31(二),11 14 15 27 30 33,04
2023124,2023-10-29(日),02 03 17 18 25 30,11
2023123,2023-10-26(四),10 13 15 22 29 32,15
2023122,2023-10-24(二),07 08 14 18 20 30,05
2023121,2023-10-22(日),02 12 16 25 30 31,12
2023120,2023-10-19(四),03 08 13 24 27 29,08
2023119,2023-10-17(二),01 02 03 19 21 28,15
2023118,2023-10-15(日),01 02 11 19 25 29,04
2023117,2023-10-12(四),02 11 14 17 18 28,08
2023116,2023-10-10(二),02 08 09 13 24 27,12
2023115,2023-10-08(日),02 07 16 21 26 27,16
2023114,2023-10-05(四),07 09 15 16 17 26,09
2023113,2023-09-28(四),01 02 13 18 25 27,03
2023112,2023-09-26(二),09 12 13 22 24 31,04
2023111,2023-09-24(日),05 06 12 17 20 33,09
2023110,2023-09-21(四),02 06 20 25 29 33,16
2023109,2023-09-19(二),06 08 10 13 16 28,13
2023108,2023-09-17(日),01 03 06 08 18 24,09
2023107,2023-09-14(四),03 07 18 25 29 33,14
2023106,2023-09-12(二),07 09 10 20 22 24,07
2023105,2023-09-10(日),01 03 05 26 30 32,16
2023104,2023-09-07(四),10 19 23 25 30 31,12
2023103,2023-09-05(二),05 06 13 24 25 29,15
2023102,2023-09-03(日),01 09 10 13 21 28,10
2023101,2023-08-31(四),01 05 09 15 18 26,04
2023100,2023-08-29(二),05 06 12 15 23 25,04
2023099,2023-08-27(日),09 11 14 19 27 33,05
2023098,2023-08-24(四),02 10 11 14 21 27,11
2023097,2023-08-22(二),01 09 14 19 29 30,15
2023096,2023-08-20(日),08 11 18 26 31 32,15
2023095,2023-08-17(四),03 08 16 17 22 26,11
2023094,2023-08-15(二),06 10 12 14 30 31,12
2023093,2023-08-13(日),10 21 24 25 27 32,07
2023092,2023-08-10(四),03 12 24 25 32 33,13
2023091,2023-08-08(二),16 20 22 26 30 32,16
2023090,2023-08-06(日),01 02 09 26 30 31,07
2023089,2023-08-03(四),08 13 15 27 28 31,11
2023088,2023-08-01(二),01 14 18 26 31 33,05
2023087,2023-07-30(日),02 09 15 17 28 33,01
2023086,2023-07-27(四),08 09 10 22 26 32,12
2023085,2023-07-25(二),11 18 23 24 31 33,13
2023084,2023-07-23(日),09 13 14 17 19 27,03
2023083,2023-07-20(四),07 10 12 16 17 30,12
2023082,2023-07-18(二),04 18 19 24 27 30,16
2023081,2023-07-16(日),01 11 15 16 22 31,15
2023080,2023-07-13(四),01 02 04 09 25 31,08
2023079,2023-07-11(二),05 06 09 12 21 22,07
2023078,2023-07-09(日),06 08 14 19 30 31,08
2023077,2023-07-06(四),07 09 14 22 26 27,01
2023076,2023-07-04(二),03 04 15 18 19 22,09
2023075,2023-07-02(日),13 15 24 28 30 31,01
2023074,2023-06-29(四),02 08 09 18 19 21,03
2023073,2023-06-27(二),01 03 15 16 25 32,10
2023072,2023-06-25(日),02 06 10 24 25 33,09
2023071,2023-06-22(四),05 12 15 19 24 26,06
2023070,2023-06-20(二),03 05 25 31 32 33,04
2023069,2023-06-18(日),12 14 17 20 21 26,02
2023068,2023-06-15(四),11 12 15 18 29 33,02
2023067,2023-06-13(二),01 03 12 19 28 32,14
2023066,2023-06-11(日),02 07 08 10 26 31,06
2023065,2023-06-08(四),02 14 17 20 26 33,14
2023064,2023-06-06(二),01 07 11 12 16 18,04
2023063,2023-06-04(日),04 08 17 20 22 27,13
2023062,2023-06-01(四),11 19 23 24 26 33,15
2023061,2023-05-30(二),01 04 06 11 12 22,15
2023060,2023-05-28(日),09 11 17 19 30 31,11
2023059,2023-05-25(四),02 06 13 22 27 32,06
2023058,2023-05-23(二),10 17 22 26 30 33,11
2023057,2023-05-21(日),02 05 10 17 24 32,03
